Average of viollevel,,Column Labels,,,,,
Row Labels,neighborhood,2015,2016,2017,2018,2019,Grand Total
New Sushi,BOSTON,,1.5,1.875,1.5,,1.6875
Legal Oysteria,CHARLESTOWN,1,2.333333333,0,1.8,,1.6875
GREEN DRAGON TAVERN,BOSTON,1.393442623,1.888888889,1.8,1.970588235,1.75,1.6875
Natalie's Pizza,ALLSTON,1.816326531,1.333333333,1.72,1.75,,1.684210526
BLACKSTONE GRILL,BOSTON,1.4,3,2.5,1.666666667,1.4,1.684210526
Shake Shack,BOSTON,1.583333333,0.888888889,0.833333333,2.277777778,1.6,1.682926829
Merkato Variety Store,ROXBURY,1.5625,1.741935484,1.769230769,1.6,1.666666667,1.682926829
Gyro City,BOSTON,,,1.666666667,2.142857143,,1.923076923
,BRIGHTON,,,0,1.642857143,1.25,1.513513514
MASS ART DINING COMMONS,BOSTON,1.625,2,1.5,1,,1.681818182
Fenmore American Bistro,BOSTON,1.666666667,1.571428571,2,1.705882353,,1.680851064
Sandy's Market,BOSTON,,,0,1.666666667,1.833333333,1.68
Grasshopper Cafe,CHARLESTOWN,1.777777778,2,1,1.4,,1.68
Felcaro Pizzeria,BOSTON,2.047619048,1.723404255,1.5,1.333333333,1,1.67961165
Saloniki,BOSTON,,1.555555556,2.259259259,1,1.4,1.679487179
New Cappy's Corner,BOSTON,1.444444444,3,1.6,1.4,,1.678571429
